fase,fase_codigo,fase_ordem,grupo,rodada,data,data_iso,hora_brt,mandante,mandante_slot,visitante,visitante_slot,estadio,cidade,pais,fuso_lista
Grupos,12,1,J,2,23/06/2026,2026-06-23,00:00,Jordânia,,Argélia,,Levi’s Stadium,Santa Clara,EUA,BRT
Grupos,12,1,K,2,23/06/2026,2026-06-23,14:00,Portugal,,Uzbequistão,,NRG Stadium,Houston,EUA,BRT
Grupos,12,1,L,2,23/06/2026,2026-06-23,17:00,Inglaterra,,Gana,,Gillette Stadium,Boston,EUA,BRT
Grupos,12,1,L,2,23/06/2026,2026-06-23,20:00,Panamá,,Croácia,,BMO Field,Toronto,Canadá,BRT
Grupos,12,1,K,2,23/06/2026,2026-06-23,23:00,Colômbia,,COD/JAM/NCL,Playoff Intercontinental 1,Estadio Akron,Guadalajara,México,BRT
Grupos,13,1,B,3,24/06/2026,2026-06-24,16:00,Suíça,,Canadá,,BC Place,Vancouver,Canadá,BRT
Grupos,13,1,B,3,24/06/2026,2026-06-24,16:00,ITA/NIR/WAL/BIH,UEFA Playoff A,Catar,,Lumen Field,Seattle,EUA,BRT
Grupos,13,1,C,3,24/06/2026,2026-06-24,19:00,Escócia,,Brasil,,Hard Rock Stadium,Miami,EUA,BRT
Grupos,13,1,C,3,24/06/2026,2026-06-24,19:00,Marrocos,,Haiti,,Mercedes-Benz Stadium,Atlanta,EUA,BRT
Grupos,13,1,A,3,24/06/2026,2026-06-24,20:00,DEN/MKD/CZE/IRL,UEFA Playoff D,México,,Estádio Azteca,Cidade do México,México,BRT
Grupos,13,1,A,3,24/06/2026,2026-06-24,22:00,África do Sul,,Coreia do Sul,,Estadio BBVA,Monterrey,México,BRT
Grupos,13,1,E,3,25/06/2026,2026-06-25,17:00,Equador,,Alemanha,,MetLife Stadium,Nova York/Nova Jersey,EUA,BRT
Grupos,13,1,E,3,25/06/2026,2026-06-25,17:00,Curaçao,,Costa do Marfim,,Lincoln Financial Field,Filadélfia,EUA,BRT
Grupos,13,1,F,3,25/06/2026,2026-06-25,20:00,Japão,,UKR/SWE/POL/ALB,UEFA Playoff B,AT&T Stadium,Dallas,EUA,BRT
Grupos,13,1,F,3,25/06/2026,2026-06-25,20:00,Tunísia,,Holanda,,Arrowhead Stadium,Kansas City,EUA,BRT
Grupos,13,1,D,3,25/06/2026,2026-06-25,23:00,TUR/ROU/SVK/KOS,UEFA Playoff C,EUA,,SoFi Stadium,Los Angeles,EUA,BRT
Grupos,13,1,D,3,25/06/2026,2026-06-25,23:00,Paraguai,,Austrália,,Levi’s Stadium,Santa Clara,EUA,BRT
Grupos,13,1,G,3,26/06/2026,2026-06-26,00:00,Egito,,Irã,,Lumen Field,Seattle,EUA,BRT
Grupos,13,1,G,3,26/06/2026,2026-06-26,00:00,Nova Zelândia,,Bélgica,,BC Place,Vancouver,Canadá,BRT
Grupos,13,1,I,3,26/06/2026,2026-06-26,16:00,Noruega,,França,,Gillette Stadium,Boston,EUA,BRT
Grupos,13,1,I,3,26/06/2026,2026-06-26,16:00,Senegal,,IRQ/BOL/SUR,Playoff Intercontinental 2,BMO Field,Toronto,Canadá,BRT
